last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market
8531,0.999249,0.000293272,8535,1.00122,0,0,1,0,0
8531.5,0.999249,0.000351906,8535,1.00116,0,0,1,0,0
8531,0.999249,0.000293272,8535,1.00122,0,0,1,0,0
8531.5,0.999249,0.000351906,8535,1.00116,0,0,1,0,0
8531.5,0.999249,0.000351906,8535,1.00116,0,0,1,0,0
8531.5,0.999249,0.000351906,8535,1.00116,0,0,1,0,0
8532,0.999249,0.000410533,8535,1.0011,0,0,1,0,0
8532,0.999249,0.000410533,8535,1.0011,0,0,1,0,0
8534,0.998454,5.85418e-05,-8527.59,-1.00068,-17062.6,-1,0,0,1
8535,0.998454,-5.85349e-05,-8527.59,-1.0008,0,0,1,0,0
8535,0.998454,-5.85349e-05,-8527.59,-1.0008,0,0,1,0,0
8535.5,0.998454,-0.000117063,-8527.59,-1.00086,0,0,1,0,0
8535.5,0.998454,-0.000117063,-8527.59,-1.00086,0,0,1,0,0
8536,0.998454,-0.000175584,-8527.59,-1.00091,0,0,1,0,0
8535.5,0.998454,-0.000117063,-8527.59,-1.00086,0,0,1,0,0
8535,0.998454,-5.85349e-05,-8527.59,-1.0008,0,0,1,0,0
8533,0.998454,0.000175646,-8527.59,-1.00056,0,0,1,0,0
8530,0.998454,0.000527123,-8527.59,-1.00021,0,0,1,0,0
8530.5,0.998454,0.000468526,-8527.59,-1.00027,0,0,1,0,0
8530,0.998454,0.000527123,-8527.59,-1.00021,0,0,1,0,0
8529.5,0.998454,0.000585727,-8527.59,-1.00015,0,0,1,0,0
8520.5,0.998454,0.00164177,-8527.59,-0.999094,0,0,1,0,0
8527,0.998454,0.000878847,-8527.59,-0.999858,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521.5,0.998454,0.00152432,-8527.59,-0.999212,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8519,0.998454,0.00181799,-8527.59,-0.998918,0,0,1,0,0
8519,0.998454,0.00181799,-8527.59,-0.998918,0,0,1,0,0
8519.5,0.998454,0.00175924,-8527.59,-0.998977,0,0,1,0,0
8519.5,0.998454,0.00175924,-8527.59,-0.998977,0,0,1,0,0
8519.5,0.998454,0.00175924,-8527.59,-0.998977,0,0,1,0,0
8520,0.998454,0.0017005,-8527.59,-0.999035,0,0,1,0,0
8521,0.998454,0.00158304,-8527.59,-0.999153,0,0,1,0,0
8522.5,0.998454,0.0014069,-8527.59,-0.999329,0,0,1,0,0
8522.5,0.998454,0.0014069,-8527.59,-0.999329,0,0,1,0,0
8526.5,0.998454,0.000937492,-8527.59,-0.9998,0,0,1,0,0
8526.5,0.998454,0.000937492,-8527.59,-0.9998,0,0,1,0,0
8526.5,0.998454,0.000937492,-8527.59,-0.9998,0,0,1,0,0
8527.5,0.998454,0.000820209,-8527.59,-0.999917,0,0,1,0,0
8527.5,0.998454,0.000820209,-8527.59,-0.999917,0,0,1,0,0
8527,0.998454,0.000878847,-8527.59,-0.999858,0,0,1,0,0
8527.5,0.998454,0.000820209,-8527.59,-0.999917,0,0,1,0,0
8528,0.998454,0.000761578,-8527.59,-0.999976,0,0,1,0,0
8528,0.998454,0.000761578,-8527.59,-0.999976,0,0,1,0,0
8528,0.998454,0.000761578,-8527.59,-0.999976,0,0,1,0,0
8528,0.998454,0.000761578,-8527.59,-0.999976,0,0,1,0,0
